,name,sector,close,atr14,atr_pct,vol20d_ann,rsi14,turnover_sek,ret_1d,ret_5d,ret_21d,momentum,trend,reversal,volume,fundamental,sentiment,macro,score,confidence,qual_notes
SCA-B.ST,SCA B,Material,112.5,1.8942650220202815,0.016837911306846948,0.1621328812186825,67.50711966910862,138384907.5486389,0.00222717149220486,0.045053399028101015,0.07347325118339354,-0.10423784076579408,0.6040867534142687,-0.3587575433807465,-0.2545901330839613,0.0,0.0,0.0,0.01594829182841906,0.285,
EQT.ST,EQT,Finans,337.8999938964844,7.763769609561774,0.022976530777743087,0.23022036894107817,60.44339890514142,455200063.63325346,0.0029682398875532368,0.005954153129923423,0.07269839332217254,-0.10113335607150284,0.2510226780437499,0.04999219042717187,-0.24201116314991564,0.0,0.0,0.0,0.005268723573908179,0.378,
HEXA-B.ST,Hexagon B,Teknik,100.4499969482422,2.1215099289128085,0.021120059665167897,0.46789025763203157,72.3530450703079,396940230.7099205,-0.002482621723697731,0.05937563036846649,0.2050143499611301,-0.14327793898924449,0.5660075879449724,-0.5474816197046466,0.054769187236653624,0.0,0.0,0.0,-0.0029280491641972472,0.378,
LATO-B.ST,Latour B,Finans,197.1000061035156,4.000048159590649,0.020294510582053712,0.20668937489581915,53.26023976123375,78489516.40346679,-0.0007604253307194053,0.04673395065925168,0.0038197095833274464,-0.30419752246501675,0.1370092230167942,-0.12507978894531877,1.0,0.0,0.0,0.0,-0.01800597605826694,0.378,
ASSA-B.ST,Assa Abloy B,Industri,351.0,5.349670536341797,0.01524122659926438,0.14817192937151413,48.367110082145636,407262576.51901853,0.000855397155765214,0.012402617945109995,0.0048669117275745855,-0.017061345297372053,-0.16201972300158127,0.21121894300683197,-0.3088154973576951,0.0,0.0,0.0,-0.02288717534178176,0.471,
SECU-B.ST,Securitas B,Industri,147.39999389648438,2.3881627662160843,0.0162019190305614,0.15590589168683602,39.82860336742182,188696487.11245498,0.004087131009902212,0.015851052351630646,-0.05754475927893443,-0.1214202933559708,-0.59505514961037,0.3333621819026944,0.745714727000665,0.0,0.0,0.0,-0.0489913912402455,0.378,
MTRS.ST,Munters,Industri,174.5500030517578,6.1688885095859645,0.035341669445613,0.3895401437515122,46.351395904760984,65717145.85900192,0.013646957869702936,-0.031354017714590676,-0.02811805612549456,-0.04412092098015258,-0.6378759614791698,0.566963921520059,0.019524479404522795,0.0,0.0,0.0,-0.04903900834468156,0.378,
AZN.ST,AstraZeneca,Halsovard,1579.5,40.603303466055365,0.02570642827860422,0.43827532732776414,49.686698101659026,1174884696.425,0.0073341836734694965,0.033704188481675335,-0.042234601176460385,-0.16786783404881642,-0.23609665745198932,0.032193961631406975,0.49085544784984875,0.0,0.0,0.0,-0.04961928857436936,0.378,
HOLM-B.ST,Holmen B,Material,326.0,5.362075143661697,0.01644808326276594,0.15167459776178455,58.70487758719978,43595737.13658295,0.009913297174855007,0.030341359951657987,0.04890609010305469,-0.16816544970158626,0.2263311899935232,-0.09885978043726826,-0.6538171522618048,0.0,0.0,0.0,-0.050668519583185155,0.471,
SAGA-B.ST,Sagax B,Fastighet,171.6999969482422,4.0769975267364025,0.02374488991962758,0.17339054093851822,61.92292100238231,63733311.29140244,0.005269285014073644,0.03185098104663919,0.06184292015293513,-0.25626908738977805,0.10486285640628933,-0.16549896945083942,-0.01766582467630457,0.0,0.0,0.0,-0.06577103156540029,0.471,
LIFCO-B.ST,Lifco B,Industri,316.6000061035156,5.818660117129581,0.018378584980908403,0.14750604171926887,46.81926339223585,98450092.42632294,-0.0006312553571934387,0.014093509687522321,0.012795905060460688,-0.14244847351828424,-0.23115760809554206,0.22554386755956624,-0.4432974724565459,0.0,0.0,0.0,-0.06989624646077304,0.471,
ERIC-B.ST,Ericsson B,Teknik,97.33999633789062,2.0915927673417665,0.021487495849921167,0.2367928484543572,47.20368676227578,683819366.1659629,0.006410205845353012,0.008495645703932242,0.06359265634069655,-0.16287031266369703,-0.30912715412642877,0.2599642659303188,-0.48283070467662953,0.0,0.0,0.0,-0.08523175992568817,0.471,
TRUE-B.ST,Truecaller B,Teknik,20.559999465942383,0.7903881406138739,0.03844300394672436,0.41607826752611754,66.54486335412315,28411493.781150818,0.0009736392173147479,0.042860730753967236,0.19050370127232408,-0.170845311043887,0.19999999999999996,-0.32605961882975987,-0.8761171861424873,0.0,0.0,0.0,-0.08912314895107212,0.471,
BALD-B.ST,Balder B,Fastighet,52.97999954223633,1.1176794469632056,0.021096252484339443,0.19779343321050794,50.272766514385076,103563038.24060726,-0.006749167778809961,-0.00037736712761649027,0.06257518840136189,-0.35059500908116287,-0.3694052610540228,0.272050154346258,0.15366123863276432,0.0,0.0,0.0,-0.10817146406213012,0.378,
AXFO.ST,Axfood,Dagligvaror,246.6999969482422,3.6391659955015214,0.014751382409887182,0.16264131294183615,56.9382506011788,86957293.64544526,0.00040547786801203856,0.045782125185204414,0.05292357548004456,-0.38998608312921956,-0.33578743866333366,-0.18160751010850118,0.41244521068140994,0.0,0.0,0.0,-0.14540312705858455,0.471,
KINV-B.ST,Kinnevik B,Finans,57.34000015258789,1.4296333198579023,0.024932565679342426,0.27631804556282574,58.80406847634558,44445031.5262291,0.003851562059121738,0.006318017080444438,0.13769838128170497,-0.4958850193886313,-0.05037022785170406,0.07563005677638557,-0.46158629713027743,0.0,0.0,0.0,-0.14704309820378875,0.471,
BEIJ-B.ST,Beijer Ref B,Industri,131.1999969482422,3.15853669709714,0.02407421319028817,0.24778108214368633,43.373972900352804,118023894.26957779,0.0015266942613907375,0.027407988125626614,-0.038123146487737625,-0.2735066013691103,-0.7061932256098906,0.18737753807174712,0.03519851396458106,0.0,0.0,0.0,-0.1538079546783574,0.378,
THULE.ST,Thule Group,Sallankopsvaror,208.6000061035156,4.333493962217225,0.02077417946031494,0.15432158132690282,41.279917706805406,33609088.807965085,0.0028846447284403,-0.0019138463946621886,-0.04487174023280294,-0.35670238569734003,-0.7329185898359765,0.4386011683486588,-0.27702253167290936,0.0,0.0,0.0,-0.16910439464851104,0.471,
ELUX-B.ST,Electrolux B,Sallankopsvaror,29.36000061035156,1.2148736689839554,0.04137853009974472,0.8824915169800979,53.84984198279035,111996007.39430857,0.011019272890350207,0.03635724283160413,0.28602718828154416,-0.6073882193844536,-0.20000000000000004,-0.05915115626851026,-0.12991072940622359,0.0,0.0,0.0,-0.1942577069432756,0.564,
SBB-B.ST,SBB B,Fastighet,3.1670000553131104,0.1290279127061055,0.04074136736740567,0.38325861663877314,41.929508150120704,29105062.473484587,0.00475891660538541,-0.02553844451904297,-0.039138333844746964,-0.557870095605143,-0.9419580019662057,0.6006624864268146,0.30692725297427825,0.0,0.0,0.0,-0.20534861290482126,0.378,
VOLCAR-B.ST,Volvo Car B,Sallankopsvaror,19.334999084472656,0.5601903544260489,0.02897286687103702,0.2824284948617223,46.15318307385085,74018255.30100259,0.005721648937336399,0.0020730245151878712,0.03202553800770014,-0.3889948868024099,-0.9561394807102146,0.32521116195907707,-0.18803265765381577,0.0,0.0,0.0,-0.21755016049391773,0.471,
AAK.ST,AAK,Dagligvaror,198.3999938964844,3.862673303307533,0.01946912007125812,0.19948501258154447,40.92373825292849,120346701.11762848,0.0020201711943657052,0.034410796348869566,0.0020201711943657052,-0.5599285965851756,-0.7299508387565308,0.17832319445732356,0.007361830638079643,0.0,0.0,0.0,-0.23127436398213716,0.378,
HUSQ-B.ST,Husqvarna B,Sallankopsvaror,36.93999862670898,0.860563087413452,0.023296240373740385,0.2534097927659014,41.460974160676734,32281012.292743873,0.0038043313193181216,-0.004312664528105525,-0.005117221544316597,-0.5889429406587552,-0.8311894799770321,0.4530692959699807,-0.13578503222609098,0.0,0.0,0.0,-0.23339647917555012,0.471,
AFRY.ST,AFRY,Industri,103.1999969482422,2.047194908923719,0.019837160556801632,0.182874852458306,48.25628868522414,25978204.459731676,0.003890991095428342,0.03199996948242201,0.017751433878469003,-0.5318465999703562,-0.8614333066516677,0.06939298843116963,-0.1963715462221354,0.0,0.0,0.0,-0.265055924458329,0.471,
